month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1999-08,New York,4341.0,,838.0,7844.0,,11,92.0,,,,,,,,,,,,,,,,,,13126
1999-07,New York,3685.0,,778.0,5290.0,,7,78.0,,,,,,,,,,,,,,,,,,9838
1999-06,New York,5420.0,,709.0,5039.0,,5,64.0,,,,,,,,,,,,,,,,,,11237
1999-05,New York,7968.0,,924.0,5741.0,,10,53.0,,,,,,,,,,,,,,,,,,14696
1999-04,New York,8094.0,,1067.0,8127.0,,15,91.0,,,,,,,,,,,,,,,,,,17394
1999-03,New York,8466.0,,1202.0,7868.0,,14,118.0,,,,,,,,,,,,,,,,,,17668
1999-02,New York,5664.0,,865.0,6474.0,,14,127.0,,,,,,,,,,,,,,,,,,13144
1999-01,New York,4616.0,,882.0,5327.0,,11,61.0,,,,,,,,,,,,,,,,,,10897
1998-12,New York,1068.0,,1054.0,12234.0,,12,49.0,,,,,,,,,,,,,,,,,,14417
1998-11,New York,0.0,,40.0,279.0,,0,0.0,,,,,,,,,,,,,,,,,,319
